Code,Airport Name
BAS,Balalae Solomon Islands
BAU,Bauru Brazil
BAV,Baotou China
BAX,Barnaul Russia
BAY,Baia Mare Romania
BBA,Balmaceda Chile
BBI,Bhubaneswar India
BBK,Kasane Botswana
BBM,Battambang Cambodia
BBN,Bario Malaysia
BBO,Berbera Somalia
BBU,Bucharest Romania - Baneasa
BCA,Baracoa Cuba
BCD,Bacolod Philippines
BCI,Barcaldine Australia
BCL,Barra Colorado Costa Rica
BCN,Barcelona Spain
BCO,Jinka Ethiopia
BCQ,Brack Libya
BDA,Bermuda Bermuda
BDA,Hamilton Bermuda
BDB,Bundaberg Australia
BDD,Badu Island Australia
BDH,Bandar Lengeh Iran
BDJ,Banjarmasin Indonesia
BDL,Hartford CT
BDL,Windsor Locks CT
BDO,Bandung Indonesia
BDP,Bhadrapur Nepal
BDQ,Vadodara India
BDS,Brindisi Italy
BDU,Bardufoss Norway
BEB,Benbecula United Kingdom
BED,Bedford MA
BEG,Belgrade Serbia and Montenegro - Beograd
BEH,Benton Harbor MI
BEI,Beica Ethiopia
BEJ,Berau Indonesia
BEL,Belem Brazil
BEN,Benghazi Libya
BEO,Newcastle New South Wales Australia - Belmont
BER,Berlin Germany - All airports
BES,Brest France
BET,Bethel AK
BEU,Bedourie Australia
BEW,Beira Mozambique
BEY,Beirut Lebanon
BFD,Bradford PA
BFF,Scottsbluff NE
BFL,Bakersfield CA
BFN,Bloemfontein South Africa
BFQ,Bahia Pinas Panama
BFS,Belfast Northern Ireland United Kingdom
BFV,Buri Ram Thailand
BGA,Bucaramanga Colombia
BGF,Banqui Central African Republic
BGI,Bridgetown Barbados
BGM,Binghamton NY
BGM,Endicott NY
BGM,Johnson City NY
BGO,Bergen Norway
BGR,Bangor ME
BGY,Milan Italy - Orio Al Serio
BHB,Bar Harbour ME
BHD,Belfast United Kingdom
BHE,Blenheim New Zealand
BHG,Brus Laguna Honduras
BHH,Bisha Saudi Arabia
BHI,Bahia Blanca Argentina
BHJ,Bhuj India
BHK,Bukhara Uzbekistan
BHM,Birmingham AL
BHO,Bhopal India
BHQ,Broken Hill Australia
BHR,Bharatpur Nepal
BHS,Bathurst Australia
BHU,Bhavnagar India
BHV,Bahawalpur Pakistan
BHX,Birmingham United Kingdom
BHY,Beihai China
BIA,Bastia France
BID,Block Island RI
BII,Bikini Atoll Marshall Islands
BIK,Biak Indonesia
BIL,Billings MT
BIM,Bimini Bahamas
BIO,Bilbao Spain
BIQ,Biarritz France
BIR,Biratragar Nepal
BIS,Bismarck ND
BJA,Bejaia Algeria
BJB,Bojnord Iran
BJF,Batsfijord Norway
