Code,Airport Name
GAR,Garaina Papua New Guinea
GAU,Gawahati India
GAX,Gamba Gabon
GBE,Gaborone Botswana
GBL,Goulburn Island Australia
GCC,Gillette WY
GCI,Guernsey United Kingdom
GCK,Garden City KS
GCM,Grand Cayman Cayman Islands
GCN,Grand Canyon AZ - National Park
GDE,Gode/Iddidole Ethopia
GDL,Guadalajara Mexico
GDN,Gdansk Poland
GDQ,Gondari Ethiopia
GDT,Grand Turk Island Turks and Caicos Islands
GDV,Glendive MT
GDX,Magadan Russia
GDZ,Gelendzik Russia
GEA,Noumea New Caledonia - Magenta
GEB,Gebe Indonesia
GEG,Spokane WA
GEL,Santo Angelo Brazil
GEO,Georgetown Guyana
GER,Nueva Gerona Cuba
GES,General Santos Philippines
GET,Geraldton Australia
GEV,Gallivare Sweden
GFF,Griffith Australia
GFK,Grand Forks ND
GFN,Grafton Australia
GGG,Gladewater/Kilgore TX
GGG,Kilgore/Gladewater TX
GGG,Longview TX
GGN,Gagnoa Cote d'Ivoire
GGS,Gobernador Gregores Argentina
GGT,George Town Bahamas
GGW,Glasgow MT
GHA,Ghardala Algeria
GHB,Governors Harbour Bahamas
GHE,Garachine Panama
GHT,Ghat Libya
GIB,Gibraltar Gibraltar
GIC,Boiju Island Australia
GIG,Rio De Janeiro RJ Brazil
GIL,Gilgit Pakistan
GIS,Gisborne New Zealand
GIZ,Gizan Saudi Arabia
GJA,Guanaja Honduras
GJL,Jijel Algeria
GJT,Grand Junction CO
GKA,Goroka Papua New Guinea
GLA,Glasgow United Kingdom - Glasgow International
GLF,Golfito Costa Rica
GLH,Greenville MS
GLI,Glen Innes Australia
GLT,Gladstone Australia
GLV,Golovin AK
GMB,Gambela Ethiopia
GMP,Seoul South Korea - Gimpo International
GNB,Grenoble France
GND,Grenada Grenada
GNU,Goodnews Bay AK
GNV,Gainesville FL
GOA,Genoa Italy
GOB,Goba Ethiopia
GOE,Gonalia Papua New Guinea
GOH,Nuuk Greenland
GOI,Goa India
GOJ,Nizhniy Novgorod Russia
GON,Groton/New London CT
GON,New London/Groton
GOQ,Golmud China
GOR,Gore Ethiopia
GOT,Gothenburg Sweden - Landvetter
GOV,Garoua Cameroon
GOV,Gove Australia
GPA,Patras Greece
GPN,Garden Point Australia
GPS,Galapagos Ecuador
GPT,Biloxi/Gulfport MS
GPT,Gulfport MS
GPZ,Grand Rapids MN
GRB,Green Bay WI
GRI,Grand Island NE
GRJ,George South Africa
GRL,Garasa Papua New Guinea
GRO,Gerona Spain
GRQ,Groningen Netherlands
GRR,Grand Rapids MI
GRU,Sao Paulo Brazil - Guarulhos Intl
GRW,Graciosa Island Portugal
GRX,Granada Spain
GRY,Grimsey Iceland
GRZ,Graz Austria
GSE,Gothenburg Sweden - Saeve
GSO,Greensboro NC
GSO,High Point NC
GSP,Greenville/Spartanburg SC
GSP,Spartanburg/Greenville SC
GST,Gustavus AK
GTE,Groofe Eylandt Australia
GTF,Great Falls MT
GTO,Gorontalo Indonesia
GTR,Columbus MS
GUA,Guatemala City Guatemala
GUB,Guerrero Negro Mexico
GUC,Gunnison CO
GUD,Goundam Mali
GUI,Guiria Venezuela
GUM,Guam
GUP,Gallup NM
GUR,Alotau Papua New Guinea
GUW,Atyrau Kazakhstan
GVA,Geneva Switzerland
GVR,Governador Valadares Brazil
GWD,Gwadar Pakistan
GWL,Gwalior India
GWT,Westerland Germany
GWY,Galway Ireland
GXF,Seiyun Yemen
GYA,Guayaramerin Bolivia
GYD,Baku Azerbaijan
GYE,Guayaquil Ecuador
GYL,Argyle Australia
GYM,Guaymas Mexico
GYN,Goiania Brazil
GYY,Gary IN
GZA,Gaza City Occupied Palestinian Territory
GZM,Gozo Malta
GZO,Gizo Solomon Islands
GZT,Gaziatep Turkey
HAA,Hasvik Norway
HAC,Hachijo Jima Japan
HAD,Halmstad Sweden
HAE,Havasupai AZ
HAH,Moroni Comoros
HAJ,Hanover Germany
HAK,Haikou China
HAM,Hamburg Germany - Fuhisbuettel
HAN,Hanoi Viet Nam - Noibai
HAP,Long Island Australia
HAQ,Hanimaadhoo Maldives
HAS,Hail Saudi Arabia
HAU,Haugesund Norway
HAV,Havana Cuba
HBA,Hobart Australia
HBB,Hobbs NM
HBE,Borg El Arab Egypt
HCQ,Halls Creek Australia
HCR,Holy Cross AK
HDB,Heidelberg Germany
HDF,Heringsdorf Germany
HDN,Hayden CO
HDS,Hoedspruit South Africa
HDY,Hat Yai Thailand
HEH,Heno Myanmar
HEL,Helsinki Finland
HER,Heraklian Greece
HET,Hohhot China
HEX,Santo Domingo Dominican Republic - Herrera
HFA,Haifa Israel
HFE,Hefei China
HFN,Hornafjordur Iceland
HFS,Hagfors Sweden
HFT,Hammerfest Norway
HGA,Hargeisa Somolia
HGD,Hughenden Australia
HGH,Hangzhou China
HGL,Helgoland Germany
HGN,Mae Hong Son Thailand
HGR,Hagerstown MD
HGU,Mount Hagen Papua New Guinea
HHH,Hilton Head SC
HHN,Frankfurt Germany - Hahn
HHQ,Hualtin Thailand
HIB,Chisholm/Hibbing MN
HIB,Hibbing/Chisholm MN
HID,Horn Island Australia
HII,Lake Havasu City AZ
HIJ,Hiroshima Japan - International
HIL,Shillavo Ethiopia
HIN,Jinju South Korea - Sancheon
HIR,Honiara Solomon Islands
HIS,Hayman Island Australia
HIT,Hivaro Papua New Guinea
HIW,Hiroshima Japan - Hiroshima West
HJR,Khajuraho India
HKB,Healy Lake AK
HKD,Hakodate Japan
HKG,Hong Kong Hong Kong
HKK,Hokitika New Zealand
HKN,Hoskins Papua New Guinea
HKT,Phuket Thailand
HKY,Hickory NC
HLD,Hailar China
HLF,Hultsfred Sweden
HLH,Ulanhot China
HLN,Helena MT
HLZ,Hamilton New Zealand
HME,Hassi Messaoud Algeria
HMO,Hermosillo Mexico
HMV,Hermavan Sweden
HNA,Morioka Japan
HND,Tokyo Japan - Haneda
HNH,Hoonah AK
HNL,Honolulu HI - Island of Oahu
HNM,Hana HI - Island of Maui
HNS,Haines AK
HOD,Hodeidah Yemen
HOE,Houeisay Laos
HOF,Hofuf Saudi Arabia
HOG,Holguin Cuba
HOK,Hooker Australia
HOM,Homer AK
HON,Huron SD
HOQ,Hof Germany
HOR,Horta Portugal
HOT,Hot Springs AR
HOU,Houston TX - All airports
HOU,Houston TX - Hobby
HOV,Orsta-Volda Norway
HPA,HaApa Tonga
HPB,Hooper Bay AK
HPH,Haiphong Viet Nam - Catbi
HPN,Westchester County NY
HRB,Harbin China
HRE,Harare Zimbabwe
HRG,Hurghada Egypt
HRK,Kharkov Ukraine
HRL,Harlingen TX
HRO,Harrison AR
HSL,Huslia AK
HSN,Zhoushan China
HSV,Huntsville AL
HTA,Chita Russia
HTI,Hamilton Island Australia
HTN,Hotan China
HTR,Hateruma Japan
HTS,Ashland KY/Huntington WV
HTS,Huntington WV/Ashland KY
HUF,Terre Haute IN
HUH,Huahine French Polynesia
HUI,Hue Viet Nam
HUN,Hualien Taiwan - Phi Bai
HUQ,Houn Libya
HUS,Hughes AK
HUU,Huanuco French Polynesia
HUV,Hudiksvall Sweden
HUX,Huatulco Mexico
HUY,Humberside United Kingdom
HVA,Analalava Madagascar
HVB,Hervey Bay Australia
HVG,Honningsvag Norway
HVN,New Haven CT
HVR,Havre MT
HWN,Hwange Nat Park Zimbabwe
HYA,Hyannis MA
HYD,Hyderabad India
HYG,Hydaburg AK
HYL,Hollis AK
HYN,Huargyan China
HYS,Hays KS
HZG,Hanzhang China
IAA,Igarka Russia
IAD,Washington DC - Dulles
IAH,Houston TX - Intercontinental
IAM,In Amenas Algeria
IAN,Kiana AK
IAR,Yaroslavl Russia
IAS,Iasi Romania
IBE,Ibague Colombia
IBZ,Ibiza Spain
ICI,Cicia Fiji
ICN,Seoul South Korea - Incheon International
ICT,Wichita KS
IDA,Idaho Falls ID
IDN,Indagen Papua New Guinea
IDR,Indore India
IEG,Zielana Poland
IEV,Kiev Ukraine - Zhulhany
IFJ,Isafjordur Iceland
IFN,Isfahan Iran
IFO,Ivano-Frankovsk Ukraine
IFP,Bullhead City/Laughlin AZ
IGA,Inagua Bahamas
IGG,Igiugig AK
IGM,Kingman AZ
IGR,Iguazu Argentina
IGU,Iguassu Falls PR Brazil
IHU,Ihu Papua New Guinea
IKO,Nikolski AK
IKS,Tiksi Russia
IKT,Irkutsk Russia
ILA,Illaga Indonesia
ILE,Killeen TX
ILF,Ilford MB
ILI,Iliamna AK
ILM,Wilmington NC
ILO,Iloilo Philippines - Mandurriao
ILP,Ile Des Pins New Caledonia
ILY,Islay United Kingdom
IMF,Imphal India
IMP,Imperatriz Brazil
IMT,Iron Mountain MI
INA,Inta Russia
INC,Yinchuan China
IND,Indianapolis IN
ING,Lago Argentina Argentina
INL,International Falls MN
INN,Innsbruck Austria
INU,Nauru Island Nauru
INV,Inverness United Kingdom
INX,Inanwatan Indonesia
IOA,Ioannina Greece
IOM,Isle of Man United Kingdom
IOP,Ioma Papua New Guinea
IOS,Ilheus Brazil
IPA,Ipota Vanuatu
IPE,Ipil Philippines
IPH,Ipoh Malaysia
IPI,Ipiales Colombia
IPL,El Centro CA
IPL,Imperial CA
IPN,Ipatinga Brazil
IPT,Williamsport PA
IQM,Qiemo China
IQQ,Iquique Chile
IQT,Iquitos Peru
IRA,Kirakira Solomon Islands
IRC,Circle AK
IRG,Lockhart River Australia
IRJ,La Rioja Argentina
IRK,Kirksville MO
ISA,Mount Isa Australia
ISB,Islamabad Pakistan
ISC,Isles of Scilly United Kingdom - St Marys
ISG,Ishigakij Japan
ISN,Williston ND
ISP,Islip NY
IST,Istanbul Turkey
ITB,Itaituba Brazil
ITH,Ithaca NY
ITK,Itokama Papua New Guinea
ITM,Osaka Japan - Itami
ITO,Hilo HI - Island of Hawaii
IUE,Niue Island Niue
IUL,Ilu Indonesia
IVA,Ambanja Madagascar
IVC,Invercargill New Zealand
IVL,Ivalo Finland
IVR,Inverell Australia
IWD,Ironwood MI
IWJ,Iwami Japan
IXA,Agartala India
IXB,Bagdogra India
IXC,Chandigarh India
IXE,Mangalore India
IXJ,Jommu India
IXL,Leh India
IXM,Madurai India
IXR,Ranchi India
IXS,Silchar India
IXU,Aurangabad India
IXZ,Port Blair India
IYK,Inyokern CA
IZO,Izumo Japan
IZT,Ixtepec Mexico
JAC,Jackson Hole WY
JAG,Jacobabad Pakistan
JAI,Jaipur India
JAL,Jalapa Mexico
JAN,Jackson MS
JAQ,Jacquinot Bay Papua New Guinea
JAT,Jabor Marshall Islands
JAV,Ilulissat Greenland
JAX,Jacksonville FL
JBR,Jonesboro AR
JCA,Cannes France - Coisette Heliport
JCK,Julia Creek Australia
JCR,Jacareacanga Brazil
JCU,Ceuta Spain and Canary Islands
JDF,Juiz De Fora Brazil
JDH,Jodhpur India
JDO,Juazeiro Do Norte Brazil
JDZ,Jingdezhen China
JED,Jeddah Saudi Arabia
JEG,Aasiaat Greenland
JEJ,Jeh Marshall Islands
JER,Jersey United Kingdom
JFK,New York NY - Kennedy
JFR,Paamiut Greenland
JGA,Jamnagar India
JGC,Grand Canyon AZ - Heliport
JGN,Jiayuguan China
JGR,Groennedal Greenland
JHB,Johor Malaysia
JHE,Angelholm/Helsingborg Sweden
JHG,Jinghong China
JHM,Kapalua HI - Island of Maui
JHQ,Shute Harbor Australia
JHS,Sisimiut Greenland
JHW,Jamestown NY
JIB,Djibouti Djibouti
JIJ,Jijiga Ethiopia
JIM,Jimma Ethiopia
JIN,Jinja Uganda
JIW,Jiwani Pakistan
JJN,Jinjiang China
JJU,Qaqortoq Greenland
JKG,Jonkoping Sweden
JKR,Janakpur Nepal
JLN,Joplin MO
JMK,Mikonos Greece
JMO,Jomsom Nepal
JMS,Jamestown ND
JMU,Jiamusi China
JNB,Johannesburg South Africa
JNN,Nanortalik Greenland
JNS,Narsaq Greenland
JNU,Juneau AK
JNZ,Jinzhou China
JOE,Joensuu Finland
JOG,Yogyakarta Indonesia
JOI,Joinville Brazil
JON,Johnston Island US Minor Outlying Islands
JPA,Joao Pessoa Brazil
JPR,Ji-Parana Brazil
JQE,Jaque Panama
JRH,Jorhat India
JRO,Kilimanjaro Tanzania
JSI,Skiathos Greece
JSM,Jose De San Martin Argentina
JSR,Jessore Bangladesh
JST,Johnstown PA
JSU,Mariitsoq Greenland
JTR,Thira Greece
JUI,Juist Germany
JUJ,Jujuy Argentina
JUL,Juliaca Peru
JUV,Upernavik Greenland
JUZ,Juzha China
JVA,Ankavandra Madagascar
JVL,Janesville WI
JYV,Jyvaskyla Finland
KAA,Kasama Zambia
KAB,Kariba Zimbabwe
KAC,Kameshli Syrian Arab Republic
KAE,Kake AK
KAG,Gangneung South Korea
KAJ,Kajaani Finland
KAL,Kaltag AK
KAN,Kano Nigeria
KAO,Kuusamo Finland
KAT,Kaitaia New Zealand
KAW,Kawthaung Myanmar
KAX,Kalbarri Australia
KBC,Birch Creek AK
KBF,Karubaga Indonesia
KBL,Kabul Afghanistan
KBM,Kabwun Papua New Guinea
KBP,Kiev Ukraine - Borispol
KBR,Kota Bharu Malaysia
KBT,Kaben Marshall Islands
KBV,Krabi Thailand
KBX,Kambuaya Indonesia
KCC,Coffman Cove AK
KCD,Kamur Indonesia
KCF,Kadanwari Pakistan
KCG,Chignik AK - Fisheries
KCH,Kuching Malaysia
KCL,Chignik AK - Lagoon
KCM,Kahramanmaras Turkey
KCQ,Chignik AK -
KCZ,Kochi Japan
KDD,Khuzdar Pakistan
KDI,Kendari Indonesia
KDL,Kardia Estonia
KDM,Kaadedhdhoo Maldives
KDO,Kadhonoo Maldives
Kee,Cocos Islands Cocos
KEF,Reykjavik Iceland
KEK,Ekwok AK
KEW,Keewaywin ON
KGD,Kaliningrad Russia
KGK,New Koliganek AK
KGL,Kigali Rwanda
KGX,Grayling AK
KHI,Karachi Pakistan - Quaid-E-Azam International
KIF,Kingfisher Lake ON
KIN,Kingston Jamaica - Norman Manley
KIV,Chisinau Republic of Moldova
KIX,Osaka Japan - Kansai Intl
KKH,Kongiganak AK
KKI,Akiachak AK
KKU,Ekuk AK
KLG,Kalskag AK
KLL,Levelock AK
KLW,Klawock AK
KMO,Manokotak AK
KNK,Kakhonak AK
KNW,New Stuyahok AK
KOA,Kona HI - Island of Hawaii
KOT,Kotlik AK
KPB,Point Baker AK
KPC,Port Clarence AK
KPN,Kipnuk AK
KPV,Perryville AK
KQA,Akuton AK
KRK,Krakow Poland
KSM,Saint Mary's AK
KTB,Thorne Bay AK
KTD,Kitadaito Japan
KTM,Kathmandu Nepal
KTN,Ketchikan AK
KTP,Kingston Jamaica - Tinson
KTR,Katherine NT Australia
KTS,Teller Mission AK
KTT,Kittila Finland
KTW,Katowice Poland
KUA,Kuantan Malaysia
KUD,Kudat Malaysia
KUF,Samara Russia
KUG,Kubin Island QL Australia
KUH,Kushiro Japan
KUK,Kasigluk AK
KUL,Kuala Lumpur Malaysia
KUN,Kaunas Lithuania
KUO,Kuopio Finland
KUQ,Kuri Papua New Guinea
KUS,Kulusuk Greenland
KUT,Kutaisi Georgia
KUV,Gunsan South Korea
KUY,Kamusi Papua New Guinea
KVA,Kavala Greece
KVB,Skovde Sweden
KVC,King Cove AK
KVD,Gyandzha Azerbaijan
KVG,Kavieng Papua New Guinea
KVL,Kivalina AK
KWA,Kwajalein Marshall Islands
KWE,Gulyang China
KWF,Waterfall AK
KWG,Krivoy Rog Ukraine
KWI,Kuwait Kuwait
KWJ,Gwangju South Korea
KWK,Kwigillingok AK
KWL,Guilin China
KWM,Kowanyama QL Australia
KWN,Quinhagak AK
KWT,Kwethluk AK
KWY,Kiwayu Kenya
KXA,Kasaan AK
KXK,Komsomolsk Na Amure Russia
KYA,Konya Turkey
KYU,Koyukuk AK
KYX,Yalumet Papua New Guinea
KYZ,Kyzyl Russia
KZF,Kaintiba Papua New Guinea
KZN,Kazan Russia
LAB,Lablab Papua New Guinea
LAD,Luanda Angola
LAE,Lae Papua New Guinea
LAF,Lafayette IN
LAI,Lannion France
LAJ,Lages SC Brazil
LAN,Lansing MI
LAO,Laoag Philippines
LAP,La Paz Mexico
LAQ,Beida Libya - La Braq
LAR,Laramie WY
LAS,Las Vegas NV
LAU,Lamu Kenya
LAW,Lawton OK
LAX,Los Angeles CA
LBA,Leeds United Kingdom
LBB,Lubbock TX
LBC,Hamburg Germany - Luebeck
LBD,Khudzhand Tajikistan
LBE,Latrobe PA
LBF,North Platte NE
LBJ,Labuan Bajo Indonesia
LBL,Liberal KS
LBP,Long Banga Malaysia
LBS,Labasa Fiji
LBU,Labuan Malaysia
LBV,Libreville Gabon
LBW,Long Bawan Indonesia
LCA,Larnaca Cyprus
LCE,La Ceiba Honduras
LCG,La Coruna Spain
LCH,Lake Charles LA
LCY,London United Kingdom - London City
LDB,Londrina PR Brazil
LDC,Lindeman Island QL Australia
LDE,Lourdes/Tarbes France
LDH,Lord Howe Island NS Australia
LDI,Lindi Tanzania
LDU,Lahadbatu Malaysia
LDY,Londonderry United Kingdom
LEA,Learmonth WA Australia
LEB,Hanover NH
LEB,Lebanon NH
LEB,White River VT
LED,Saint Petersburg Russia - Pulkovo
LED,St. Petersburg Russia
LEH,Le Havre France
LEI,Almeria Spain
LEJ,Leipzig Germany
LEQ,Lands End United Kingdom
LER,Leinster WA Australia
LET,Leticia Colombia
LEV,Bureta Fiji
LEX,Lexington KY
LFT,Lafayette LA
LFW,Lome Togo
LGA,New York NY - La Guardia
LGB,Long Beach CA
LGG,Liege Belgium
LGI,Long Island/Deadmans Cay Bahamas
LGK,Langkawi Malaysia
LGL,Long Lellang Malaysia
LGP,Legaspi Philippines
LGQ,Lago Agrio Ecuador
LGS,Malargue MD Argentina
LGW,London United Kingdom - Gatwick
LHE,Lahore Pakistan
LHG,Lightning Ridge NS Australia
LHR,London United Kingdom - Heathrow
LHW,Lanzhau Guinea
LIF,Lifa New Caledonia
LIG,Limoges France
LIH,Kauai Island/Lihue HI
LIH,Lihue HI - Island of Kaui
LII,Mulia Indonesia
LIK,Likiep Island Marshall Islands
LIL,Lille France - Lesquin
LIM,Lima Peru
LIN,Milan Italy - Linate
LIR,Liberia Costa Rica
LIS,Lisbon Portugal
LIT,Little Rock AR
LJG,Lijiang City China
LJU,Ljubliana Slovenia
LKA,Larantuka Indonesia
LKB,Lakeba Fiji
LKE,Seattle WA - Lake Union SPB
LKL,Lakselv Norway
LKN,Leknes Norway
LKO,Lucknow India
LLA,Lulea Sweden
LLI,Lalibela Ethiopia
LLW,Lilongwe Malawi
LMA,Lake Minchumina AK
LML,Lae Island Marshall Islands
LMM,Los Mochis Mexico
LMN,Limbang Malaysia
LMP,Lampedusa Italy
LMT,Klamath Falls OR
LNB,Lamen Bay Vanuatu
LNE,Lonorore Vanuatu
LNK,Lincoln NE
LNO,Leonora WA Australia
LNS,Lancaster PA
LNV,Lihir Island Papua New Guinea
LNY,Lanai City HI - Island of Lanai
LNZ,Linz Austria
LOD,Longana Vanuatu
LOF,Loen Marshall Islands
LOH,Loja Ecuador
LON,London United Kingdom - All airports
LOS,Lagos Nigeria
LOV,Monclova Mexico
LPA,Las Palmas Spain
LPB,La Paz Bolivia
LPI,Lampang Thailand
LPI,Linkoping Sweden
LPL,Liverpool United Kingdom
LPM,Lamap Vanuatu
LPP,Lappeenranta Finland
LPQ,Luang Prabang Laos
LPS,Lopez Island WA
LPU,Long Apung Indonesia
LPY,Le Puy France
LRD,Laredo TX
LRE,Longreach QL Australia
LRH,Larochelle France
LRM,La Romana Dominican Republic
LRT,Lorient France
LSA,Losuia Papua New Guinea
LSC,La Serena Chile
LSE,La Crosse WI
LSI,Shetland Islands United Kingdom - Sumburgh
LSP,Las Piedras Venezuela
LST,Launceston TS Australia
LSY,Lismore NS Australia
LTD,Ghadames Libya
LTK,Latakia Syria
LTN,London United Kingdom - Luton
LTO,Loreto Mexico
LTQ,Le Touquet France
LTT,Saint Tropez France - La Mole
LUA,Lukla Nepal
LUC,Laucala Island Fiji
LUD,Luderitz Namibia
LUG,Lugano Switzerland
LUM,Luxi China
LUN,Lusaka Zambia
LUP,Kalaupapa HI - Island of Molokai
LUQ,San Luis SL Argentina
LUR,Cape Lisburne AK
LUV,Langguri Indonesia
LUW,Luwuk Indonesia
LUX,Luxembourg Luxembourg
LVI,Livingstone Zambia
LVO,Laverton WA Australia
LWB,Lewisburg WV
LWK,Shetland Islands United Kingdom - Lerwick/Tingwall
LWN,Gyourmri Armenia
LWO,Lvov Ukraine
LWS,Lewiston ID
LWT,Lewistown MT
LWY,Lawas Malaysia
LXA,Lhasa China
LXG,Luang Namtha Laos
LXR,Luxor Egypt
LXS,Lemnos Greece
LYA,Luoyang China
LYC,Lyoksele Sweden
LYG,Lianyungang China
LYI,Linyi China
LYP,Faisalabad Pakistan
LYR,Longyearbyen Svalbard & Jan Mayen Island
LYS,Lyon France - Satolas
LYU,Ely MN
LZC,Lozaro Cardenas Mexico
LZH,Liuzhou China
LZO,Luzhou China
LZR,Lizard Island QL Australia
MAA,Chennai India
MAB,Maraba PA Brazil
MAD,Madrid Spain
MAF,Midland/Odessa TX
MAF,Odessa/Midland TX
MAG,Madang Papua New Guinea
MAH,Menorca Spain
MAJ,Majuro Marshall Islands
MAK,Malakai Sudan
MAM,Matamoros Mexico
MAN,Manchester United Kingdom
MAO,Manaus AM Brazil
MAQ,Mae Sot Thailand
MAR,Maracaibo Venezuela
MAS,Manus Island Papua New Guinea
MAT,Natadi Congo
MAU,Maupiti French Polynesia
MAV,Maloelap Island Marshall Islands
MAY,Mangrove Cay Bahamas
MAZ,Mayaguez Puerto Rico
MBA,Mombasa Kenya
MBE,Monbetsu Japan
MBH,Maryborough QL Australia
MBJ,Montego Bay Jamaica
MBL,Manistee MI
MBS,Bay City MI
MBS,Midland MI
MBS,Saginaw MI
MBT,Masbate Philippines
MBX,Maribor Slovenia
MCE,Merced CA
MCG,Mcgrath AK
MCH,Machala Ecuador
MCI,Kansas City MO
MCK,Mccook NE
MCM,Monte Carlo Monaco
MCN,Macon GA
MCO,Orlando FL - International
MCP,Macapa AP Brazil
MCT,Muscat Oman
MCV,Mcarthur River NT Australia
MCW,Mason City IA
MCX,Makhachkala Russia
MCY,Sunshine Coast QL Australia
MCZ,Maceio AL Brazil
MDC,Manado Indonesia
MDE,Medellin Colombia - Jose Marie Cordova
MDG,Mudanjiang China
MDH,Carbondale IL
MDJ,Madras OR
MDK,Mbandaka Congo
MDL,Mandalay Myanmar
MDP,Mindiptana Indonesia
MDQ,Mar Del Plata BA Argentina
MDS,Middle Caicos Turks and Caicos
MDT,Harrisburg PA
MDU,Mendi Papua New Guinea
MDW,Chicago IL - Midway
MDY,Midway Island US Minor Outlying Islands
MDZ,Mendoza MD Argentina
MEC,Manta Ecuador
MED,Madinah Saudi Arabia
MEE,Mare New Caledonia
MEH,Mehamn Norway
MEI,Meridian MS
MEL,Melbourne Victoria Australia
MEM,Memphis TN
MES,Medan Indonesia
MEU,Monte Dourado PA Brazil
MEX,Mexico City Mexico
MFA,Mafia Tanzania
MFE,Mcallen TX
MFE,Mission TX
MFF,Moanda Gabon
MFG,Muzaffarabad Pakistan
MFJ,Moala Fiji
MFM,Macau China
MFO,Manguna Papua New Guinea
MFR,Medford OR
MFU,Mfume Zambia
MGA,Managua Nicaragua
MGB,Mount Gambier SA Australia
MGF,Maringa PR Brazil
MGH,Margate South Africa
MGL,Dusseldorf Germany - Moenchen-Gl.
MGM,Montgomery AL
MGQ,Mogadishu Somalia
MGS,Mangaia Island Cook Islands
MGT,Milingimbi NT Australia
MGW,Morgantown WV
MGZ,Myeik Myanmar
MHD,Mashad Iran
MHG,Mannheim Germany
MHH,Marsh Harbour Bahamas
MHK,Manhattan KS
MHP,Minsk Belarus - Minsk International 1
MHQ,Mariehamn Finland
MHT,Manchester NH
MHU,Mount Hotham VI Australia
MHX,Manihiki Island Cook Islands
MIA,Miami FL - International
MID,Merida Mexico
MII,Marilia SP Brazil
MIJ,Mili Island Marshall Islands
MIK,Mikkeli Finland
MIM,Merimbula NS Australia
MIR,Monastir Tunisia
MIS,Misima Island Papua New Guinea
MJA,Manja Madagascar
MJB,Mejit Island Marshall Islands
MJD,Mohenjodaro Denmark
MJE,Majkin Marshall Islands
MJF,Mosjoen Norway
MJK,Monkey Mia WA Australia
MJL,Mouila Gabon
MJM,Mbuji Mayi Congo
MJN,Majunga Madagascar
MJT,Mytilene Greece
MJV,Murcia Spain
MJZ,Mirnyj Russia
MKE,Milwaukee WI
MKG,Muskegon MI
MKK,Hoolehua HI - Island of Molokai
MKL,Jackson TN
MKM,Mukan Malaysia
MKQ,Merauke Indonesia
MKR,Meekatharra WA Australia
MKS,Mekane Selam Ethiopia
MKT,Mankato MN
MKU,Makokou Gabon
MKW,Manokwari Indonesia
MKY,Mackay QL Australia
MKZ,Malacca Malaysia
MLA,Malta Malta
MLB,Melbourne FL
MLE,Male Maldives
MLH,Mulhouse France
MLI,Moline IL
MLL,Marshall AK
MLM,Morelia Mexico
MLN,Melilla Spain
MLS,Miles City MT
MLU,Monroe LA
MLX,Malatya Turkey
MLY,Manley Hot Springs AK
MMB,Memanbetsu Japan
MMD,Minami Daito Japan
MME,Teesside United Kingdom
MMG,Mount Magnet WA Australia
MMJ,Matsumoto Japan
MMK,Murmansk Russia
MMO,Maio Cape Verde
MMX,Malmo Sweden
MMY,Miyako Jima Japan
MNB,Moanda Congo
MNC,Nacala Mozambique
MNF,Mana Island Fiji
MNG,Maningrioa NT Australia
MNI,Montserrat Montserrat
MNJ,Mananjary Madagascar
MNL,Manila Philippines
MNR,Mangu Zambia
MNT,Minto AK
MNU,Maulmyine Myanmar
MNY,Mono Solomon Islands
MOA,Moa Cuba
MOB,Mobile AL
MOC,Montes Claros MG Brazil
MOD,Modesto CA
MOF,Maumere Indonesia
MOI,Mitiaro Island Cook Islands
MOL,Molde Norway
MON,Mount Cook New Zealand
MOQ,Morondava Madagascar
MOT,Minot ND
MOU,Mountain Village AK
MOV,Moranbah QL Australia
MOW,Moscow Russia - all locations
MOZ,Moorea French Polynesia
MPA,Mpacha Namibia
MPB,Miami FL - Sea Plane Base
MPK,Mokpo South Korea
MPL,Montpellier France
MPM,Maputo Mozambique
MPN,Mount Pleasant Falkland Islands
MPW,Mariupol Ukraine
MQF,Magnitogorsk Russia
MQL,Mildura VI Australia
MQN,Mo I Rana Norway
MQT,Marquette MI
MQX,Makale Ethiopia
MRA,Misurata Libya
MRD,Merida Venezuela
MRE,Mara Lodges Kenya
MRS,Marseille France
MRU,Mauritius Mauritius
MRV,Mineralnye Vody Russia
MRY,Carmel CA
MRY,Monterey CA
MRZ,Moree NS Australia
MSA,Muskrat Dam ON
MSE,Manston United Kingdom
MSJ,Misawa Japan
MSL,Florence/Muscle Shoals/Sheffield AL
MSL,Muscle Shoals AL
MSL,Sheffield/Florence/Muscle Shoals AL
MSN,Madison WI
MSO,Missoula MT
MSP,Minneapolis MN
MSQ,Minsk Belarus - Minsk International 2
MSR,Mus Turkey
MSS,Massena NY
MST,Maastricht Netherlands
MSU,Maseru Lesotho
MSY,New Orleans LA
MTF,Mizan Teferi Ethiopia
MTJ,Montrose CO
MTM,Metlakatla AK
MTR,Monteria Colombia
MTS,Manzini Swaziland
MTT,Minatitla Mexico
MTV,Mota Lava Vanuatu
MTY,Monterrey Mexico
MUA,Munda Solomon Islands
MUB,Maun Botswana
MUC,Munich Germany
MUE,Kamuela HI - Island of Hawaii
MUH,Mersa Matruh Egypt
MUK,Mauke Island Cook Islands
MUN,Maturin Venezuela
MUR,Marudi Malaysia
MUX,Multan Pakistan
MUZ,Musoma Tanzania
MVB,Franceville Gabon
MVD,Montevideo Uruguay
MVR,Marova Cameroon
MVS,Mucuri BA Brazil
MVY,Martha's Vineyard MA
